Ognoo,Iteminfid,Uldegdel
2022-01-01,2007121328749,-2.00
2022-01-01,2007121328895,49.00
2022-01-01,2007121329180,449.00
2022-01-01,2007121329377,-5.00
2022-01-01,2007121329379,-9.00
2022-01-01,2007121329380,-3.00
2022-01-01,2007121329381,533.97
2022-01-01,2007121331288,2.00
2022-01-01,2007121332656,5.00
2022-01-01,2007121332659,6.00
2022-01-01,2007121334813,33.00
2022-01-01,120620429994600001,0.00
2022-01-01,120620429994600002,0.00
2022-01-01,120620429994600013,0.00
2022-01-01,120620429994600026,0.00
2022-01-01,140224536726700000,767.00
2022-01-01,150203456119500001,416.00
2022-01-01,150930603566800001,94.00
2022-01-01,151229506383600001,31.00
2022-01-01,151229527874800001,0.00
2022-01-01,160121610393900001,0.00
2022-01-01,160513343594000001,426.00
2022-01-01,160826685080700001,1345.00
2022-01-01,170407678293400001,15.00
2022-01-01,170428381482200001,-41.00
2022-01-01,171030000763800001,11.00
2022-01-01,180213012331300001,2.00
2022-01-01,180327043373200005,28.00
2022-01-01,180604114334600001,1.00
2022-01-01,180604114351700001,1671.00
2022-01-01,180604114383000001,623.00
2022-01-01,180704149959400001,29.00
2022-01-01,180706153232200002,246.00
2022-01-01,180706153232200003,41.00
2022-01-01,180706153232200005,200.00
2022-01-01,180920233009700325,9.00
2022-01-01,190603577080600001,6.00
2022-01-01,190909745530500004,3331.00
2022-01-01,199009170000000056,402.00
2022-01-01,200813226771700001,2585.00
2022-01-01,200826241374700001,271.00
2022-01-01,201104060000000029,-3.00
2022-01-01,201205090000000004,599.00
2022-01-01,201207090000000130,205.00
2022-01-01,210327509663500011,0.00
2022-01-02,2007121328749,-2.00
2022-01-02,2007121328895,103.00
2022-01-02,2007121329180,441.00
2022-01-02,2007121329377,-31.00
2022-01-02,2007121329379,-18.00
2022-01-02,2007121329380,-11.00
2022-01-02,2007121329381,530.97
2022-01-02,2007121331288,-2.00
2022-01-02,2007121332656,6.00
2022-01-02,2007121332659,8.00
2022-01-02,2007121334813,33.00
2022-01-02,120620429994600001,0.00
2022-01-02,120620429994600002,0.00
2022-01-02,120620429994600013,0.00
2022-01-02,120620429994600026,0.00
2022-01-02,140224536726700000,767.00
2022-01-02,150203456119500001,395.00
2022-01-02,150930603566800001,71.00
2022-01-02,151229506383600001,24.00
2022-01-02,151229527874800001,0.00
2022-01-02,160121610393900001,0.00
2022-01-02,160513343594000001,422.00
2022-01-02,160826685080700001,1345.00
2022-01-02,170407678293400001,40.00
2022-01-02,170428381482200001,-49.00
2022-01-02,171030000763800001,11.00
2022-01-02,180213012331300001,2.00
2022-01-02,180327043373200005,28.00
2022-01-02,180604114334600001,1.00
2022-01-02,180604114351700001,1619.00
2022-01-02,180604114383000001,299.00
2022-01-02,180704149959400001,48.00
2022-01-02,180706153232200002,241.00
2022-01-02,180706153232200003,39.00
2022-01-02,180706153232200005,200.00
2022-01-02,180920233009700325,-6.00
2022-01-02,190603577080600001,6.00
